id,type,measurement,lat,lon,value,AQI_level
000050113,OZONE_AQI,AQI,45.5472,-73.7472,22.89745498433529,good
000050119,NO2_AQI,AQI,45.5231,-73.4939,5.304497536217548,good
000050119,OZONE,PPB,45.5231,-73.4939,25.361095899721725,
000050119,OZONE_AQI,AQI,45.5231,-73.4939,24.218126505783946,good
000050204,NO2_AQI,AQI,45.4369,-75.7261,4.06242531628857,good
000050204,OZONE,PPB,45.4369,-75.7261,24.8700003609388,
000050204,OZONE_AQI,AQI,45.4369,-75.7261,23.211286718602025,good
000050308,NO2_AQI,AQI,46.8214,-71.2208,5.5260227609242945,good
000050308,OZONE,PPB,46.8214,-71.2208,21.668997273783976,
000050308,OZONE_AQI,AQI,46.8214,-71.2208,20.306957861389495,good
000050311,NO2,PPB,46.77417,-71.36972,4.621762072688947,
000050311,NO2_AQI,AQI,46.77417,-71.36972,4.261573340000666,good
000050311,OZONE,PPB,46.77417,-71.36972,21.47682897188538,
000050311,OZONE_AQI,AQI,46.77417,-71.36972,20.13346607035441,good
000050311,PM2.5,UG/M3,46.77417,-71.36972,9.320343817311533,
000050311,PM25_AQI,AQI,46.77417,-71.36972,35.65797883312112,good
000050404,OZONE,PPB,45.4125,-71.8744,24.11330848384913,
000050404,OZONE_AQI,AQI,45.4125,-71.8744,23.239137901446362,good
000050604,OZONE,PPB,48.2344,-78.9833,24.338217606823385,
000050604,OZONE_AQI,AQI,48.2344,-78.9833,23.31374647017374,good
000051501,OZONE,PPB,46.0419,-72.66,25.002154272290753,
000051501,OZONE_AQI,AQI,46.0419,-72.66,23.459315060456717,good
000051501,PM2.5,UG/M3,46.0419,-72.66,5.809645468442664,
000051501,PM25_AQI,AQI,46.0419,-72.66,23.342507716494517,good
000052001,OZONE,PPB,46.4425,-72.8928,24.248742984172168,
000052001,OZONE_AQI,AQI,46.4425,-72.8928,22.914926984968382,good
000052201,OZONE,PPB,45.4431,-73.4686,24.628001815780184,
000052201,OZONE_AQI,AQI,45.4431,-73.4686,23.89310985153638,good
000052301,OZONE,PPB,46.035,-74.4819,26.621151649214983,
000052301,OZONE_AQI,AQI,46.035,-74.4819,25.461624171492645,good
000052301,PM2.5,UG/M3,46.035,-74.4819,4.966795244679715,
000052301,PM25_AQI,AQI,46.035,-74.4819,19.850842164845098,good
000052401,OZONE,PPB,45.6222,-76.0178,21.439271505714988,
000052401,OZONE_AQI,AQI,45.6222,-76.0178,19.535036812052944,good
000053201,OZONE,PPB,48.8183,-72.7428,23.20163652089324,
000053201,OZONE_AQI,AQI,48.8183,-72.7428,22.482914935138268,good
000053301,OZONE,PPB,46.6822,-71.9678,23.215690249968517,
000053301,OZONE_AQI,AQI,46.6822,-71.9678,22.19714727435699,good
000053501,OZONE,PPB,47.0147,-70.8644,27.858690017605557,
000053501,OZONE_AQI,AQI,47.0147,-70.8644,30.535421918810588,good
000053601,OZONE,PPB,46.8508,-70.4528,24.670767937185126,
000053601,OZONE_AQI,AQI,46.8508,-70.4528,24.185091427334484,good
