Unique_ID,Location_type,Zipcode,name,type,measurement,value,lat,lon,AQI_level
ZC_8610,Zip_code,8610.0,Rider University,RHUM,PERCENT,66.18953929356299,40.1997,-74.7288,
ZC_8610,Zip_code,8610.0,Rider University,TEMP,C,12.500181046039373,40.1997,-74.7288,
ZC_8610,Zip_code,8610.0,Rider University,BARPR,MILLIBAR,1013.1389077062114,40.1997,-74.7288,
ZC_8610,Zip_code,8610.0,Rider University,WD,DEGREES,220.6519191106206,40.1997,-74.7288,
ZC_8610,Zip_code,8610.0,Rider University,PM2.5,UG/M3,7.3554550726016465,40.1997,-74.7288,
ZC_95008,Zip_code,95008.0,San Jose,PM2.5,UG/M3,9.212434188115523,37.288,-121.9482,
ZC_19004,Zip_code,19004.0,Philadelphia,TEMP,C,17.928283869502366,40.0115,-75.2189,
ZC_19004,Zip_code,19004.0,Philadelphia,RHUM,PERCENT,55.194461473335615,40.0115,-75.2189,
ZC_19004,Zip_code,19004.0,Philadelphia,WS,M/S,1.1501154045570623,40.0115,-75.2189,
ZC_19004,Zip_code,19004.0,Philadelphia,WD,DEGREES,180.3537916951697,40.0115,-75.2189,
ZC_6902,Zip_code,6902.0,Greenwich,TEMP,C,12.717622802766805,41.0765,-73.566,
ZC_6902,Zip_code,6902.0,Greenwich,RWS,KNOTS,5.88420380257918,41.0765,-73.566,
ZC_6902,Zip_code,6902.0,Greenwich,RWD,DEGREES,189.15702377733533,41.0765,-73.566,
ZC_85118,Zip_code,85118.0,Apache Junction,PM10_AQI,AQI,19.838853671478805,33.3584,-111.453,good
ZC_95124,Zip_code,95124.0,San Jose,PM2.5,UG/M3,9.212434188115523,37.2656,-121.9204,
ZC_19144,Zip_code,19144.0,Philadelphia,TEMP,C,17.928283869502366,40.0312,-75.1819,
ZC_19144,Zip_code,19144.0,Philadelphia,WS,M/S,1.1501154045570623,40.0312,-75.1819,
ZC_19144,Zip_code,19144.0,Philadelphia,RHUM,PERCENT,55.194461473335615,40.0312,-75.1819,
ZC_19144,Zip_code,19144.0,Philadelphia,WD,DEGREES,180.3537916951697,40.0312,-75.1819,
ZC_16827,Zip_code,16827.0,State College,OZONE,PPB,26.459134673276743,40.7807,-77.791,
ZC_33493,Zip_code,33493.0,Belle Glade,PM25,UG/M3,6.334960999420999,26.6642,-80.7167,
ZC_33493,Zip_code,33493.0,Belle Glade,PM25_AQI,AQI,25.1295676210583,26.6642,-80.7167,good
ZC_1527,Zip_code,1527.0,Worcester,PM25_AQI,AQI,32.78300530749443,42.1917,-71.759,good
ZC_1527,Zip_code,1527.0,Worcester,PM25,UG/M3,8.100702972767621,42.1917,-71.759,
ZC_1527,Zip_code,1527.0,Worcester,NO2_AQI,AQI,9.676279676067276,42.1917,-71.759,good
ZC_94305,Zip_code,94305.0,Redwood City,OZONE,PPB,21.628777581515124,37.426,-122.159,
ZC_94305,Zip_code,94305.0,Redwood City,CO,PPM,0.3926686865878561,37.426,-122.159,
ZC_94305,Zip_code,94305.0,Redwood City,NO2,PPB,8.299878947243263,37.426,-122.159,
ZC_83635,Zip_code,83635.0,McCall,PM2.5,UG/M3,9.86996916757114,44.8323,-116.0849,
ZC_57108,Zip_code,57108.0,Sioux Falls,OZONE,PPB,29.11714207340493,43.5005,-96.6501,
ZC_57108,Zip_code,57108.0,Sioux Falls,PM10,UG/M3,13.856688642548178,43.5005,-96.6501,
ZC_94306,Zip_code,94306.0,Redwood City,PM25_AQI,AQI,33.91818110536346,37.4251,-122.1456,good
ZC_94306,Zip_code,94306.0,Redwood City,PM25,UG/M3,9.95831583335603,37.4251,-122.1456,
ZC_94306,Zip_code,94306.0,Redwood City,NO2_AQI,AQI,7.432904780990004,37.4251,-122.1456,good
ZC_94306,Zip_code,94306.0,Redwood City,OZONE_AQI,AQI,20.01806472897407,37.4251,-122.1456,good
ZC_94502,Zip_code,94502.0,Oakland,NO,PPB,3.4349670850320435,37.731,-122.2369,
ZC_94502,Zip_code,94502.0,Oakland,NOX,PPB,12.783767180874491,37.731,-122.2369,
ZC_94502,Zip_code,94502.0,Oakland,PM2.5,UG/M3,11.477121864556006,37.731,-122.2369,
ZC_6076,Zip_code,6076.0,Stafford,OZONE_AQI,AQI,31.32628312171171,41.9553,-72.3082,good
ZC_6076,Zip_code,6076.0,Stafford,TEMP,C,10.578370644403517,41.9553,-72.3082,
ZC_6076,Zip_code,6076.0,Stafford,RWS,KNOTS,2.3729807869507646,41.9553,-72.3082,
ZC_6076,Zip_code,6076.0,Stafford,RWD,DEGREES,194.02803158972696,41.9553,-72.3082,
ZC_6076,Zip_code,6076.0,Stafford,OZONE,PPB,34.26383757802048,41.9553,-72.3082,
ZC_1520,Zip_code,1520.0,Worcester,OZONE,PPB,32.697216777403526,42.3467,-71.8606,
ZC_6851,Zip_code,6851.0,Westport,NO2_AQI,AQI,7.060398249211802,41.1271,-73.4179,good
ZC_6851,Zip_code,6851.0,Westport,OZONE_AQI,AQI,27.33603645195625,41.1271,-73.4179,good
ZC_56239,Zip_code,56239.0,Marshall,OZONE_AQI,AQI,27.57107507402213,44.5138,-95.8939,good
ZC_56239,Zip_code,56239.0,Marshall,PM25_AQI,AQI,21.502090405682186,44.5138,-95.8939,good
ZC_56239,Zip_code,56239.0,Marshall,PM25,UG/M3,5.335980094346591,44.5138,-95.8939,
ZC_1527,Zip_code,1527.0,Worcester,NO2,PPB,10.169130138959837,42.1917,-71.759,
ZC_1527,Zip_code,1527.0,Worcester,SO2,PPB,0.0588472866563445,42.1917,-71.759,
ZC_1527,Zip_code,1527.0,Worcester,CO,PPM,0.2646697809518279,42.1917,-71.759,
