,Unique_ID,lat,lon
157,S_040031005,36.28171278,-100.2563232
158,S_040038001,32.009201,-109.389198
159,S_040051008,35.20612525,-111.652847625
160,S_040058001,36.055,-112.1531
161,S_040070008,34.22848278571429,-111.3303435
162,S_040070010,33.654725,-111.107406
163,S_040070011,29.5681442,-95.54879395
164,S_040070012,36.30838145,-97.79424445
165,S_040071002,33.0088354,-110.78306790000002
166,S_040128000,34.25964098333333,-113.56518114166668
167,S_040130019,33.46921208124999,-112.1399033625
168,S_040131003,33.413344039285725,-111.84468324285712
169,S_040131004,33.630971933333335,-112.06426707500002
170,S_040131010,33.42472393125,-111.8179861
171,S_040132001,33.93689507692308,-115.90621932307695
172,S_040132005,33.69884310625,-111.88757076875
173,S_040133002,33.4451740576923,-112.05382325
174,S_040133003,33.49032215,-111.91140001
175,S_040134003,33.40537126785716,-112.07333144285715
176,S_040134004,33.29899999999999,-111.88429999999998
177,S_040134005,33.420047733333334,-111.93779481666668
178,S_040134006,33.29715925,-111.70566763571426
179,S_040134008,33.831183175,-111.9632096625
180,S_040134009,33.406399,-112.144302
181,S_040134010,33.62195255,-112.38553322
182,S_040134011,33.37,-112.62069999999996
183,S_040134016,33.68796490714285,-112.29343699285714
184,S_040134018,40.63738,-111.478306
185,S_040134019,36.38642753333332,-118.59876853333331
186,S_040134020,38.26212433333333,-86.78798126666668
187,S_040137020,34.80900728,-105.48809396
188,S_040137022,35.20377855,-111.8165158
189,S_040139508,33.98176825,-111.7985629375
190,S_040139702,34.6172954,-89.44254824999999
191,S_040139704,33.60548141875,-111.7256198
192,S_040139997,33.47017600789474,-112.08231244473686
193,S_040151003,35.1585679,-114.556732775
194,S_040170119,34.96486589285714,-109.81098920714284
195,S_040190001,32.37393391428572,-112.86001177857142
196,S_040190011,32.40247152,-112.12408829
197,S_040190020,32.41469745714286,-111.1558565357143
198,S_040190021,32.18390615,-110.7254518
199,S_040191001,32.20048595,-110.968046525
200,S_040191011,34.142252400000004,-101.95206615
201,S_040191018,34.3017297,-106.13986425
202,S_040191020,33.0695128,-107.06321015
203,S_040191028,31.57075092,-107.06827778000002
204,S_040191030,33.13597925714286,-102.61075234285714
205,S_040191032,32.46383012,-112.80517399
