Unique_ID,label,prediction
ZC_8528,31.269521713256836,29.34374237060547
S_010550011,24.234012603759766,25.170780181884766
ZC_11965,33.58599853515625,30.050033569335938
ZC_6031,35.497772216796875,32.42531967163086
ZC_5363,28.74112892150879,26.883502960205078
ZC_92104,30.121707916259766,25.831134796142578
ZC_14221,30.032493591308594,28.443843841552734
ZC_17349,24.27897834777832,28.762229919433594
ZC_48367,30.070890426635742,29.21613311767578
S_480290052,27.138629913330078,26.582862854003906
ZC_6758,29.86870574951172,31.05473518371582
ZC_89406,29.897581100463867,23.565187454223633
ZC_29860,25.042604446411133,26.71559715270996
ZC_37727,40.84436798095703,25.427690505981445
ZC_12997,33.713191986083984,32.083763122558594
S_420279991,31.349567413330078,28.587095260620117
ZC_49847,31.719661712646484,29.941749572753906
ZC_76207,27.449068069458008,29.415813446044922
ZC_76059,28.604951858520508,29.177871704101562
ZC_23709,27.20021629333496,26.327808380126953
ZC_91310,33.49413299560547,29.86469268798828
ZC_75166,27.363616943359375,27.50422477722168
S_060771002,22.768274307250977,24.33031463623047
ZC_20601,25.652301788330078,24.429443359375
ZC_18932,28.058012008666992,26.210533142089844
S_060833001,26.67983627319336,26.37868881225586
ZC_16154,29.703311920166016,28.482845306396484
S_220730004,24.046062469482422,24.415782928466797
ZC_32815,32.04530334472656,29.108287811279297
ZC_65283,27.766590118408203,24.245464324951172
ZC_87102,30.59279441833496,28.524675369262695
ZC_89702,32.9962043762207,28.27103042602539
ZC_22031,28.17561912536621,26.075145721435547
ZC_10027,24.284536361694336,24.782546997070312
ZC_38122,26.468034744262695,25.761812210083008
S_120590004,25.085384368896484,24.093732833862305
ZC_18709,24.749481201171875,27.406070709228516
ZC_92122,30.121707916259766,27.21954917907715
ZC_4572,32.334964752197266,32.32778549194336
ZC_62712,31.84913444519043,28.734161376953125
ZC_22209,27.118183135986328,26.662147521972656
S_410390060,18.936574935913086,27.57044219970703
ZC_17404,24.27897834777832,27.908002853393555
ZC_15747,33.193050384521484,25.493057250976562
ZC_7081,23.944889068603516,25.303630828857422
ZC_13736,33.71881103515625,29.878562927246094
ZC_44420,29.410810470581055,28.50448989868164
ZC_37373,29.168880462646484,26.6400203704834
ZC_49820,31.719661712646484,31.520238876342773
ZC_35673,29.71610450744629,24.804323196411133
ZC_77372,25.89645004272461,24.464271545410156
ZC_81327,35.67168426513672,32.86829376220703
S_560390008,37.99705123901367,30.497692108154297
ZC_75212,25.182092666625977,26.46205711364746
C_Camden,26.400386810302734,27.896196365356445
ZC_78665,26.586040496826172,28.9909725189209
ZC_40104,25.772560119628906,27.198501586914062
S_391219991,32.54717254638672,29.61142349243164
ZC_32820,26.780248641967773,25.92176628112793
ZC_25387,23.01175880432129,23.663169860839844
ZC_48034,29.944244384765625,29.892818450927734
ZC_45833,32.16236877441406,29.284812927246094
ZC_55917,29.552410125732422,30.783519744873047
S_340219991,28.240116119384766,27.909717559814453
ZC_15763,33.193050384521484,30.667675018310547
S_000050604,24.33821678161621,33.53036880493164
ZC_14901,33.71881103515625,29.64602279663086
ZC_17005,23.97804069519043,25.097042083740234
ZC_35228,27.087890625,25.926870346069336
ZC_6107,26.22991371154785,26.113269805908203
ZC_87412,35.71741485595703,28.27971839904785
C_Great Smoky Mtns. Natl. Park - TN,35.377037048339844,29.789386749267578
ZC_75798,27.217435836791992,25.09136962890625
ZC_8230,28.329641342163086,28.15923309326172
ZC_27704,25.31977653503418,26.52256202697754
ZC_91202,35.31449508666992,31.769378662109375
C_Lassen Volcanic National Park,38.16260528564453,35.15336227416992
ZC_98247,23.66543197631836,26.591060638427734
ZC_13041,28.065494537353516,28.930015563964844
ZC_15475,24.73284339904785,24.78514289855957
ZC_6105,26.22991371154785,23.8291072845459
ZC_27612,26.197723388671875,26.77528190612793
ZC_20603,25.652301788330078,27.0079345703125
ZC_14516,31.142131805419922,30.75107192993164
ZC_72339,25.537145614624023,26.48455810546875
ZC_24168,28.6778564453125,25.248779296875
ZC_96858,21.040346145629883,22.55950927734375
ZC_20607,28.17561912536621,26.127666473388672
C_Southeast LA CO,26.378887176513672,25.932003021240234
ZC_60433,29.52664566040039,28.030826568603516
ZC_94507,25.494359970092773,30.677661895751953
ZC_33614,25.137224197387695,24.981700897216797
C_Conway,31.327795028686523,34.01676559448242
S_060833001,26.67983627319336,26.10935401916504
ZC_32568,27.56183624267578,27.3669490814209
ZC_43071,33.51564025878906,27.26810646057129
ZC_77380,25.89645004272461,25.52839469909668
ZC_94925,22.3919620513916,23.443313598632812
ZC_7857,31.269521713256836,29.9405517578125
ZC_7649,26.30204963684082,27.390254974365234
ZC_20708,25.61981201171875,26.19318389892578
ZC_20009,28.893848419189453,27.685630798339844
ZC_93301,28.149036407470703,29.816375732421875
ZC_20650,28.030235290527344,28.282955169677734
ZC_10604,26.23853874206543,24.192922592163086
ZC_32931,32.04530334472656,29.162586212158203
ZC_24015,27.725873947143555,27.10079002380371
ZC_10923,26.39717674255371,26.097421646118164
ZC_6385,34.44332504272461,28.83485984802246
ZC_60014,30.38353729248047,28.441143035888672
ZC_4653,32.334964752197266,32.93105697631836
S_330090010,23.914806365966797,24.469627380371094
ZC_27205,27.48970603942871,28.389705657958984
ZC_92693,35.40256881713867,31.403133392333984
S_482010024,21.70850944519043,22.28116226196289
C_West Greenwich,27.308311462402344,28.28789520263672
ZC_30083,19.065404891967773,23.563859939575195
ZC_84104,27.180971145629883,26.514604568481445
S_240150003,29.957094192504883,27.326520919799805
ZC_34788,25.02061653137207,27.615949630737305
S_121030018,27.642929077148438,27.854455947875977
ZC_49884,31.719661712646484,30.017335891723633
ZC_61749,31.84913444519043,30.4224910736084
ZC_95687,24.25374984741211,25.058692932128906
ZC_49315,32.15536117553711,29.916046142578125
ZC_71105,23.220699310302734,28.010120391845703
ZC_56229,29.697046279907227,30.075231552124023
ZC_6704,29.86870574951172,28.069595336914062
ZC_65256,25.04813003540039,28.375394821166992
ZC_34747,25.199960708618164,23.827775955200195
ZC_61281,31.44478988647461,27.9217529296875
ZC_76707,27.134586334228516,27.73242950439453
ZC_46260,24.10724449157715,27.55821990966797
ZC_33467,26.685205459594727,27.641374588012695
ZC_94116,25.479867935180664,26.913694381713867
ZC_48041,30.81429100036621,27.638050079345703
ZC_75143,26.703500747680664,27.615215301513672
ZC_82930,46.701351165771484,31.594083786010742
ZC_37187,31.643901824951172,29.52786636352539
ZC_33859,25.199960708618164,24.90481185913086
ZC_73501,32.205074310302734,28.36175537109375
ZC_6790,35.497772216796875,27.941654205322266
ZC_10560,26.23853874206543,29.986888885498047
ZC_13142,29.122190475463867,29.616329193115234
ZC_17109,25.39536476135254,26.39010238647461
ZC_13083,29.840572357177734,29.371788024902344
ZC_3561,23.914806365966797,25.907018661499023
S_000100304,20.61588478088379,25.514991760253906
ZC_41008,29.749244689941406,27.127849578857422
ZC_29207,23.625986099243164,23.905433654785156
S_370210030,24.297388076782227,25.210115432739258
ZC_20615,28.030235290527344,27.997175216674805
ZC_10533,26.23853874206543,26.468482971191406
ZC_48460,29.906415939331055,30.122722625732422
ZC_76701,27.134586334228516,26.553924560546875
ZC_49825,31.719661712646484,30.837848663330078
ZC_75001,28.108675003051758,26.763431549072266
ZC_49015,30.2120304107666,28.83991050720215
ZC_32317,22.70240592956543,22.313390731811523
ZC_95602,43.67788314819336,33.914119720458984
ZC_78015,27.138629913330078,27.99580192565918
ZC_28625,27.203554153442383,27.840518951416016
ZC_19801,26.497798919677734,27.434598922729492
ZC_46235,24.325536727905273,27.29176902770996
ZC_90075,24.049972534179688,25.218955993652344
ZC_3857,26.76180076599121,29.306489944458008
C_Williston,36.44770812988281,30.9263916015625
ZC_34986,28.0792236328125,24.63799285888672
C_Thibodaux,24.007822036743164,25.735885620117188
ZC_15463,24.73284339904785,26.29582977294922
ZC_35143,24.238067626953125,26.034265518188477
ZC_48509,29.906415939331055,27.641128540039062
ZC_90091,26.378887176513672,29.928150177001953
ZC_77035,22.78881072998047,23.878768920898438
ZC_10607,26.23853874206543,26.219633102416992
ZC_12886,26.122453689575195,29.711139678955078
