,CBSA,Population_2010,CBSA_code,CO_8hr_ppm,Pb_3mo,NO2_Am_ppb,NO2_1h_ppb,O3_8hr_ppm,PM10_24hr,PM25_AM,PM25_24hr,SO2_1hr_ppb
250,"Jackson, TN",130011,27180,,,,,,,7.5,15,
251,"Jackson, WY-ID",31464,27220,0,,,,0.061,40,3.6,12,
252,"Jacksonville, FL",1345596,27260,1,,11,39,0.065,57,8.6,20,41
253,"Jacksonville, NC",177772,27340,,,,,,,,,
254,"Jamestown-Dunkirk-Fredonia, NY",134905,27460,,,,,0.065,,5.9,14,3
255,"Janesville-Beloit, WI",160331,27500,,,,,0.061,,,,
256,"Jasper, IN",54734,27540,,,,,,30,8.4,19,
257,"Jefferson City, MO",149807,27620,,,,,0.05800000000000002,,,,
258,"Johnstown, PA",143679,27780,1,,6,34,0.054,27,9,24,13
259,"Jonesboro, AR",121026,27860,,,,,,,,,
260,"Joplin, MO",175518,27900,,,,,0.061,88,,,
261,"Juneau, AK",31275,27940,,,,,,50,6.8,25,
262,"Kahului-Wailuku-Lahaina, HI",154924,27980,,,,,,,4.1,17,
263,"Kalamazoo-Portage, MI",326589,28020,,,,,0.061,,,,
264,"Kalispell, MT",90928,28060,,,,,0.053000000000000005,83,6.6,24,
265,"Kansas City, MO-KS",2009342,28140,1,,11,47,0.064,71,7.6,17,7
266,"Kapaa, HI",67091,28180,,,4,38,,,2.9,8,
267,"Keene, NH",77117,28300,,,,,0.053000000000000005,,4.8,14,
268,"Kennewick-Richland, WA",253340,28420,,,,,0.061,65,,,
269,"Ketchikan, AK",13477,28540,,,,,,,,,
270,"Killeen-Temple, TX",405300,28660,,,3,27,0.067,,8.3,19,
271,"Kingsport-Bristol-Bristol, TN-VA",309544,28700,,0,,,0.064,,7.1,14,104
272,"Kingsville, TX",32477,28780,,,,,,,,,
273,"Kinston, NC",59495,28820,,,,,0.062,,,,
274,"Klamath Falls, OR",66380,28900,,,,,,58,10.5,34,
275,"Knoxville, TN",837571,28940,1,0.03,1,5,0.066,37,8.9,17,7
276,"Kokomo, IN",82752,29020,,,,,0.063,,7.3,18,
277,"Laconia, NH",60088,29060,,,,,0.052,,3.6,15,
278,"La Crosse-Onalaska, WI-MN",133665,29100,,,,,0.05800000000000002,,7.6,22,
279,"Lafayette, LA",466750,29180,,,,,0.063,52,7.9,17,
280,"Lafayette-West Lafayette, IN",201789,29200,,,,,0.061,,8.8,18,
281,"La Grande, OR",25748,29260,,,,,,36,,,
282,"Lake Charles, LA",199607,29340,,,8,39,0.065,,6.8,14,26
283,"Lake City, FL",67531,29380,,,,,0.063,,,,
284,"Lake Havasu City-Kingman, AZ",200186,29420,,,,,,72,,,
285,"Lakeland-Winter Haven, FL",602095,29460,,,,,0.067,57,7.7,19,26
286,"Lancaster, PA",519445,29540,,0.07000000000000002,,,0.065,51,9.7,30,
287,"Lansing-East Lansing, MI",464036,29620,,,7,44,0.055,,,,4
288,"Laramie, WY",36299,29660,,,,,0.065,82,3.7,10,
289,"Laredo, TX",250304,29700,3,,,,0.05899999999999998,48,10.7,29,
290,"Las Cruces, NM",209233,29740,,,7,46,0.077,488,7.2,21,
291,"Las Vegas-Henderson-Paradise, NV",1951269,29820,2,,24,58,0.07000000000000002,104,8,26,5
292,"Laurel, MS",84823,29860,,,,,,,,,
293,"Lawrenceburg, TN",41869,29980,,,,,,,,,
294,"Lawton, OK",130291,30020,,,,,0.066,,8.2,17,
295,"Lebanon, PA",133568,30140,,,,,0.065,,8.8,29,
296,"Lewiston, ID-WA",60888,30300,,,,,,,,,
297,"Lewiston-Auburn, ME",107702,30340,,,,,0.05,37,5.2,14,
298,"Lexington-Fayette, KY",472099,30460,,,6,42,0.05899999999999998,28,8,17,4
299,"Lima, OH",106331,30620,,,,,0.064,,7.4,17,3
300,"Lincoln, NE",302157,30700,,,,,0.05600000000000001,,6.5,17,33
301,"Little Rock-North Little Rock-Conway, AR",699757,30780,1,,8,38,0.06,38,10.3,23,13
302,"Logan, UT-ID",125442,30860,,,4,33,0.062,67,6.2,35,
303,"London, KY",126369,30940,,,,,,,,,
304,"Longview, TX",214369,30980,,,3,18,0.067,,,,115
305,"Longview, WA",102410,31020,,,,,,,,,
306,"Los Angeles-Long Beach-Anaheim, CA",12828837,31080,3,0.02,23,78,0.101,159,11,28,8
307,"Louisville/Jefferson County, KY-IN",1235708,31140,2,,15,49,0.068,40,10.5,23,15
308,"Lubbock, TX",290805,31180,,,,,,,6.4,14,
309,"Ludington, MI",28705,31220,,,,,0.05700000000000001,,,,
310,"Lumberton, NC",134168,31300,,,,,,,,,
311,"Lynchburg, VA",252634,31340,,,,,,,6.2,12,
312,"Macon, GA",232293,31420,,,,,0.066,,9.1,17,3
313,"Madera, CA",150865,31460,,,6,29,0.075,155,,,
314,"Madison, WI",605435,31540,,,,,0.05899999999999998,35,8,21,2
315,"Malone, NY",51599,31660,,,,,,,,,1
316,"Manchester-Nashua, NH",400721,31700,0,,,,0.05700000000000001,,3,10,1
317,"Manitowoc, WI",81442,31820,,,,,0.066,,,,
318,"Mankato-North Mankato, MN",96740,31860,,,,,,,,,
319,"Marietta, OH",61778,31930,,0,,,0.062,,,,
320,"Marion, NC",44996,32000,,,,,,,,,
321,"Marion, OH",66501,32020,,0.02,,,,,,,
322,"Marshall, MN",25857,32140,,,,,0.06,,5.9,18,
323,"Marshall, TX",65631,32220,,,2,16,0.062,,,,54
324,"Mason City, IA",51749,32380,,,,,,41,,,
325,"Mayagüez, PR",106330,32420,,,,,0.014000000000000002,,,,
326,"McAlester, OK",45837,32540,,0,,,0.065,,8.1,17,
327,"McAllen-Edinburg-Mission, TX",774769,32580,,,,,0.053000000000000005,50,10.7,30,
328,"Medford, OR",203206,32780,,,,,0.062,54,8.7,37,
329,"Memphis, TN-MS-AR",1324829,32820,1,,10,40,0.07000000000000002,54,8.8,19,2
330,"Merced, CA",255793,32900,,,6,34,0.072,80,9.6,30,
331,"Meridian, MS",107449,32940,,,,,0.05899999999999998,,,,
332,"Miami, OK",31848,33060,,0.05,,,0.055,52,,,
333,"Miami-Fort Lauderdale-West Palm Beach, FL",5564635,33100,2,,15,48,0.06,54,8.9,19,1
334,"Michigan City-La Porte, IN",111467,33140,,,,,0.071,,7.9,24,
335,"Middlesborough, KY",28691,33180,,,,,0.05899999999999998,,7.3,17,
336,"Milwaukee-Waukesha-West Allis, WI",1555908,33340,1,,13,47,0.068,58,9.3,24,4
337,"Minneapolis-St. Paul-Bloomington, MN-WI",3348859,33460,1,0.07000000000000002,8,41,0.062,98,8,23,10
338,"Minot, ND",69540,33500,,,2,14,0.063,27,4.5,11,8
339,"Missoula, MT",109299,33540,,,,,0.03500000000000001,77,8.5,21,
340,"Mobile, AL",412992,33660,,,,,0.05899999999999998,,8.3,17,22
341,"Modesto, CA",514453,33700,1,,9,44,0.079,104,10.6,36,
342,"Monroe, LA",176441,33740,,,,,0.05899999999999998,,7.2,15,
343,"Monroe, MI",152021,33780,,,,,,70,,,9
344,"Montgomery, AL",374536,33860,,,,,0.06,33,9,16,
345,"Morehead City, NC",66469,33980,,,,,0.061,,,,
346,"Morgantown, WV",129709,34060,,,,,0.06,,7.2,15,14
347,"Morristown, TN",113951,34100,,,,,0.065,,,,
348,"Moscow, ID",37244,34140,,,,,,,,,
349,"Moses Lake, WA",89120,34180,,,,,,,,,
350,"Mount Pleasant, TX",32334,34420,,,,,,,,,31
351,"Mount Vernon, IL",38827,34500,,,,,0.064,,8.3,17,
352,"Mount Vernon, OH",60921,34540,,,,,0.063,,,,
353,"Mount Vernon-Anacortes, WA",116901,34580,,,,,0.04,,5.5,12,3
354,"Muncie, IN",117671,34620,,0.03,,,0.05899999999999998,,8.3,19,
355,"Muscatine, IA",42745,34700,,,,,,36,8.1,23,25
356,"Muskegon, MI",172188,34740,,,,,0.068,,,,
357,"Muskogee, OK",70990,34780,,,,,,173,,,
358,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",376722,34820,,,,,0.064,,,,60
359,"Napa, CA",136484,34900,1,,5,29,0.06,29,5.9,14,
360,"Naples-Immokalee-Marco Island, FL",321520,34940,,,,,0.05899999999999998,,,,
361,"Nashville-Davidson--Murfreesboro--Franklin, TN",1670890,34980,1,,14,51,0.066,32,9.2,18,
362,"Natchez, MS-LA",53119,35020,,,,,,,,,
363,"New Castle, IN",49462,35220,,,,,,,7.7,17,
364,"New Castle, PA",91108,35260,,0.01,,,0.05600000000000001,,,,
365,"New Haven-Milford, CT",862477,35300,1,,12,46,0.084,67,7.7,18,2
366,"New Orleans-Metairie, LA",1189866,35380,2,0.09,10,43,0.063,79,7.8,17,53
367,"New York-Newark-Jersey City, NY-NJ-PA",19567410,35620,2,,21,66,0.073,34,11,24,11
368,"Niles-Benton Harbor, MI",156813,35660,,,,,0.066,,,,
369,"Nogales, AZ",47420,35700,,,,,,108,8.8,25,
370,"North Platte, NE",37590,35820,,,,,,,,,
