uid,lat,lon,name,aqi
9294,57.1492,-111.6424,"Fort McKay South, Alberta, Canada",16
5863,54.4138811,-110.2330575,"Cold Lake South, Alberta, Canada",5
5865,54.2165,-111.5026,"St. Lina, Alberta, Canada",8
9292,55.632331,-111.078872,"Conklin Community, Alberta, Canada",12
5923,55.8628398,-108.4794604,"Buffalo Narrows, Saskatchewan, Canada",-
9281,54.126035,-108.43729,"Meadow Lake, Saskatchewan, Canada",11
5488,57.189406,-111.640504,"Fort McKay, Alberta, Canada",15
5489,56.7328,-111.3902,"Fort McMurray Athabasca Valley, Alberta, Canada",11
9298,57.2591972,-111.0385833,"Wapasu, Alberta, Canada",6
9297,55.62141,-111.17269,"Stony Mountain, Alberta, Canada",3
10712,55.9033,-110.7499,"Janvier, Alberta, Canada",22
5474,56.448889,-111.038056,"Anzac, Alberta, Canada",9
5490,56.751386,-111.476596,"Fort McMurray Patricia McInnes, Alberta, Canada",8
6910,54.7686,-101.877555,"Flin Flon, Manitoba, Canada",15
6001,55.85917,-4.258889,"Glasgow Kerbside, United Kingdom",21
5997,55.87603,-4.318754,"Glasgow Broomhill, United Kingdom",25
5979,55.904167,-4.225,"East Dunbartonshire Bishopbriggs, United Kingdom",38
8051,55.863313,-4.390978,"Renfrew Cockels Loan, United Kingdom",-
6008,55.957778,-4.039444,"N Lanarkshire Croy, United Kingdom",21
6021,55.464531,-4.631673,"South Ayrshire Ayr High St, United Kingdom",-
4904,55.865782,-4.243631,"Glasgow Townhead, United Kingdom",18
6020,55.470162,-4.633681,"South Ayrshire Ayr Harbour, United Kingdom",-
6002,55.836256,-4.270768,"Glasgow Nithsdale Road, United Kingdom",38
6000,55.870766,-4.318448,"Glasgow Dumbarton Road, United Kingdom",21
6012,55.614578,-4.666786,"North Ayrshire Irvine High St, United Kingdom",21
6034,54.180381,-6.33924,"Newry Canal Street, United Kingdom",17
6011,55.843523,-4.023222,"N Lanarkshire Shawhead Coatbridge, United Kingdom",21
6022,55.775278,-4.163611,"South Lanarkshire East Kilbride, United Kingdom",9
11655,55.793907,-4.092354,"South Lanarkshire Blantyre, United Kingdom",17
6341,55.861667,-4.271389,"Glasgow Anderston, United Kingdom",25
6342,54.543516,-6.008608,"Lisburn Dunmurry Seymour Hill, United Kingdom",-
6029,54.861595,-6.250873,"Ballymena Ballykeel, United Kingdom",25
8671,55.818802,-4.167073,"South Lanarkshire Cambuslang, United Kingdom",17
8052,55.828408,-4.218786,"South Lanarkshire Rutherglen, United Kingdom",21
8915,55.860936,-4.238214,"Glasgow High Street, United Kingdom",27
5978,55.919596,-4.333505,"East Dunbartonshire Bearsden, United Kingdom",50
5981,55.938253,-4.317753,"East Dunbartonshire Milngavie , United Kingdom",13
6028,54.353728,-6.654558,"Armagh Lonsdale Road, United Kingdom",-
6033,54.43951,-7.900328,"Lough Navar, United Kingdom",22
6007,55.851944,-4.019444,"N Lanarkshire Coatbridge Whifflet, United Kingdom",21
5976,55.607469,-4.497986,"E Ayrshire Kilmarnock St Marnock St, United Kingdom",21
10098,55.944079,-4.734421,"Greenock A8 Roadside, United Kingdom",12
5999,55.874167,-4.294722,"Glasgow Byres Road, United Kingdom",42
6344,54.641963,-5.837939,"North Down Holywood A2, United Kingdom",25
6023,55.774018,-4.03736,"South Lanarkshire Hamilton, United Kingdom",25
8670,55.843583,-4.037413,"North Lanarkshire Kirkshaw, United Kingdom",25
8046,55.79412,-4.354968,"Glasgow Waulkmillglen Reservoir, United Kingdom",9
3160,54.59965,-5.928833,"Belfast Centre, United Kingdom",55
6031,54.572586,-5.974944,"Belfast Stockman's Lane, United Kingdom",25
8914,55.002818,-7.331179,"Derry Rosemount, United Kingdom",76
10877,57.481308,-4.241451,"Inverness, United Kingdom",13
9584,55.798813,-4.058363,"South Lanarkshire Raith Interchange 2, United Kingdom",17
8047,55.818357,-4.081839,"South Lanarkshire Uddingston, United Kingdom",21
5980,55.935921,-4.151759,"East Dunbartonshire Kirkintilloch, United Kingdom",30
6036,54.821427,-7.453291,"Strabane Springhill Park, United Kingdom",50
8916,54.565819,-1.3159,"Stockton-on-Tees A1305 Roadside, United Kingdom",14
6024,56.11472,-3.932178,"Stirling Craig's Roundabout, United Kingdom",42
5966,57.141922,-2.091664,"Aberdeen Market Street 2, United Kingdom",30
3197,54.569297,-1.220874,"Middlesbrough, United Kingdom",17
6006,55.84581,-3.947346,"N Lanarkshire Chapelhall, United Kingdom",21
5964,57.128567,-2.125447,"Aberdeen Anderson Dr, United Kingdom",34
5967,57.144555,-2.106472,"Aberdeen Union Street Roadside, United Kingdom",25
5974,56.462383,-2.96739,"Dundee Seagate, United Kingdom",17
6017,56.373126,-3.841475,"Perth Crieff, United Kingdom",-
3168,54.894834,-2.945307,"Carlisle Roadside, United Kingdom",34
5993,56.07383,-3.44862,"Fife Dunfermline, United Kingdom",50
5990,55.991087,-3.941685,"Falkirk Haggs, United Kingdom",30
3158,57.15736,-2.094278,"Aberdeen, United Kingdom",21
5965,57.169738,-2.095348,"Aberdeen King Street, United Kingdom",20
5971,56.465126,-2.993867,"Dundee Lochee Road, United Kingdom",17
6016,56.399327,-3.434182,"Perth Atholl Street, United Kingdom",46
6339,55.944008,-3.059223,"East Lothian Musselburgh N High St, United Kingdom",17
11656,55.976262,-3.163964,"Edinburgh Tower Street, United Kingdom",17
9580,55.9425,-3.281111,"Edinburgh St John's Road, United Kingdom",34
6025,55.934357,-3.46919,"West Lothian Broxburn, United Kingdom",30
5991,56.000507,-3.790128,"Falkirk West Bridge Street, United Kingdom",13
5968,57.134195,-2.093968,"Aberdeen Wellington Road, United Kingdom",17
5970,56.467332,-2.943423,"Dundee Broughty Ferry Road, United Kingdom",17
6019,56.41467,-3.44964,"Perth Muirton, United Kingdom",-
3198,54.97825,-1.610528,"Newcastle Centre, United Kingdom",30
9582,56.013572,-3.789022,"Falkirk Main St Bainsford, United Kingdom",13
5973,56.464258,-2.971386,"Dundee Meadowside, United Kingdom",17
9579,56.45974,-2.970708,"Dundee Whitehall Street, United Kingdom",13
3159,55.79216,-3.2429,"Auchencorth Moss, United Kingdom",19
3176,55.945589,-3.182186,"Edinburgh St Leonards, United Kingdom",21
8667,55.673936,-3.775658,"South Lanarkshire Lanark, United Kingdom",17
5989,56.018951,-3.721013,"Falkirk Grangemouth MC, United Kingdom",25
5972,56.475434,-2.959861,"Dundee Mains Loan, United Kingdom",21
3217,54.88361,-1.406878,"Sunderland Silksworth, United Kingdom",24
5986,55.974594,-3.161455,"Edinburgh Salamander St, United Kingdom",17
5994,56.124331,-3.141347,"Fife Kirkcaldy, United Kingdom",25
6027,55.983925,-3.455939,"West Lothian Newton, United Kingdom",21
3178,56.010319,-3.704399,"Grangemouth, United Kingdom",21
8668,56.117343,-3.791818,"Alloa A907, United Kingdom",61
3214,54.516667,-1.358547,"Stockton-on-Tees Eaglescliffe, United Kingdom",30
6340,55.896909,-3.31966,"Edinburgh Currie, United Kingdom",34
5985,55.960497,-3.30325,"Edinburgh Queensferry Road, United Kingdom",21
5983,55.939026,-3.392727,"Edinburgh Glasgow Road, United Kingdom",30
5995,56.036243,-3.417582,"Fife Rosyth, United Kingdom",46
6010,55.788333,-3.986389,"N Lanarkshire Motherwell, United Kingdom",13
11654,56.001956,-3.786485,"Falkirk Hope St, United Kingdom",13
5992,56.319444,-3.014167,"Fife Cupar, United Kingdom",25
7863,57.708610534668,11.970002174377,"Göteborg Femman, Sweden",-
7867,57.701389312744,11.995011329651,"Göteborg Gårda, Sweden",-
10522,57.3937,11.9142,"Råö, Sweden",28
7871,57.698612213135,11.960841178894,"Göteborg Haga, Sweden",-
10904,54.09323,10.240596,"Bornhöved, Schleswig-Holstein, Germany",-
10903,54.304676,10.135158,"Kiel-Bahnhofstr. Verk., Schleswig-Holstein, Germany",-
10906,54.616669,9.363674,"Eggebek, Schleswig-Holstein, Germany",-
10907,54.78143,9.43809,"Flensburg, Schleswig-Holstein, Germany",-
9330,56.177291,14.857318,"Karlshamn Erik Dahlbergsvägen - Prinsgatan, Sweden",-
3317,55.6750137,12.5693995,"H.C.Andersens Boulevard, Copenhagen, Denmark",43
8568,55.7007621,12.5613124,"H.C. Ørsted Institutet, Copenhagen, Denmark",26
7866,55.606388092041,13.001963615417,"Malmö Rådhuset, Sweden",-
3318,55.7,12.1,"Risø, Denmark",27
7870,55.583889007568,13.008060455322,"Malmö Dalaplan, Sweden",-
12479,56.042425792887,13.14855099881,"Hallahus, Sweden",26
10017,55.703336,13.180275,"Lund Trollebergsvägen, Sweden",-
12519,56.047200928565,12.691471605858,"Helsingborg Drottninggatan, Sweden",27
2677,54.353333333333,18.635277777778,"Gdansk Srodmiescie, Gdansk, Poland",29
2679,54.400833333333,18.6575,"Gdansk Nowy Port, Gdansk, Poland",43
2681,54.328333333333,18.557777777778,"Gdansk Szadołki, Gdansk, Poland",22
2686,54.525277777778,18.536388888889,"Gdynia Srodmiescie, Gdansk, Poland",-
9335,54.463341,17.046677,"Słupsk, Poland",27
6569,54.546219,17.74635,"Lębork, Poland",29
6567,54.119948,17.97702,"Kościerzyna, Poland",77
6568,54.031129,19.03278,"Malbork, Poland",27
2678,54.367777777778,18.701111111111,"Gdansk Stogi, Gdansk, Poland",36
2682,54.431666666667,18.579722222222,"Sopot, Gdansk, Poland",4
2684,54.380277777778,18.620277777778,"Gdansk Wrzeszcz, Gdansk, Poland",68
2685,54.465555555556,18.464722222222,"Gdynia Dabrowa, Gdansk, Poland",79
2680,54.560833333333,18.493333333333,"Gdynia Pogorze, Gdansk, Poland",70
3325,56.316814,22.903861,"Naujoji Akmenė, Lithuania",5
3320,55.7296619,21.9292986,"Zemaitija, Lithuania",17
3321,55.6848552,21.1840107,"Klaipėda Šilutės Pl., Lithuania",19
3323,54.8878169,23.845993,"Kaunas Noreikiskes, Lithuania",19
11818,54.116056,22.93875,"Suwałki ul. Pułaskiego, Poland",99
3322,54.9142482,24.0221896,"Kaunas Petrašiūnai, Lithuania",3
3324,54.7117424,25.2974345,"Vilnius Žirmūnai, Lithuania",18
3332,55.652695,37.751502,"Marin, Moscow, Moscow, Russia (Марьино, Москва)",46
6936,55.719959,37.795549,"Veshnyaki, Moscow, Moscow, Russia (Вешняки, Москва)",38
4718,55.679393,37.716882,"Guryanova, Moscow, Moscow, Russia (Гурьянова, Москва)",57
3335,55.707241,37.52241,"Mgu, Moscow, Moscow, Russia (МГУ, Москва)",14
3330,55.759354,37.595584,"Spirid, Moscow, Moscow, Russia (Спиридоновка, Москва)",53
11669,55.856324,37.426628,"Turist, Moscow, Moscow, Russia (Туристская, Москва)",46
